id,text,parent_id
1,Root (alpha),0
2,Root (beta),0
3,Parent A,1
4,Parent B,1
5,Parent C,2
6,Child A1,3
7,Child A2,3
8,Child A3,3
9,Child B1,4
10,Child C1,5
11,Grandchild A1.1,6
12,Grandchild A1.2,6
13,Grandchild A1.3,6
14,Grandchild A1.4,6
15,Grandchild A2.1,7
16,Grandchild A2.2,7
17,Grandchild A2.3,7
18,Grandchild A2.4,7
19,Grandchild A3.1,8
20,Grandchild A3.2,8
21,Grandchild A3.3,8
22,Grandchild B1.1,9
23,Grandchild B1.2,9
24,Grandchild B1.3,9
25,Grandchild C1.1,10
26,Grandchild C1.2,10
27,Grandchild C1.3,10